Municipio;cd_geocmu;TT06_Dominant
Rurópolis - PA;1506195;3
Santa Luzia D'Oeste - RO;1100296;3
Santa Rita - MA;2110203;3
Santa Tereza do Tocantins - TO;1719004;3
Santana - AP;1600600;3
Santarém Novo - PA;1506906;3
São Domingos do Araguaia - PA;1507151;3
São Felipe D'Oeste - RO;1101484;3
São Francisco do Guaporé - RO;1101492;3
São Gabriel da Cachoeira - AM;1303809;3
São João do Araguaia - PA;1507508;3
São José dos Quatro Marcos - MT;5107107;3
São Miguel do Guaporé - RO;1100320;3
São Pedro dos Crentes - MA;2111573;3
Seringueiras - RO;1101500;3
Serra do Navio - AP;1600055;3
Sítio Novo do Tocantins - TO;1720804;3
Tabatinga - AM;1304062;3
Tarauacá - AC;1200609;3
Teixeirópolis - RO;1101559;3
Terra Alta - PA;1507961;3
Terra Nova do Norte - MT;5108055;3
Theobroma - RO;1101609;3
Urucurituba - AM;1304401;3
Urupá - RO;1101708;3
Vale do Anari - RO;1101757;3
Vale do Paraíso - RO;1101807;3
Vargem Grande - MA;2112704;3
Vitória do Jari - AP;1600808;3
Alto Alegre do Maranhão - MA;2100436;2
Alto Alegre do Pindaré - MA;2100477;2
Amapá do Maranhão - MA;2100550;2
Amaturá - AM;1300060;2
Anajatuba - MA;2100709;2
Apicum-Açu - MA;2100832;2
Araguanã - MA;2100873;2
Atalaia do Norte - AM;1300201;2
Axixá - MA;2101103;2
Bacuri - MA;2101301;2
Bacurituba - MA;2101350;2
Bagre - PA;1501105;2
Barcelos - AM;1300409;2
Benedito Leite - MA;2101806;2
Bernardo do Mearim - MA;2101939;2
Bom Lugar - MA;2102077;2
Brejo de Areia - MA;2102150;2
Cachoeira Grande - MA;2102374;2
Cajapió - MA;2102408;2
Cajari - MA;2102507;2
Cândido Mendes - MA;2102606;2
Cedral - MA;2103109;2
Centro do Guilherme - MA;2103158;2
Codajás - AM;1301308;2
Conceição do Lago-Açu - MA;2103554;2
Cururupu - MA;2103703;2
Dom Pedro - MA;2103802;2
Filadélfia - TO;1707702;2
Godofredo Viana - MA;2104305;2
Gonçalves Dias - MA;2104404;2
Governador Archer - MA;2104503;2
Governador Eugênio Barros - MA;2104602;2
Governador Luiz Rocha - MA;2104628;2
Graça Aranha - MA;2104701;2
Guimarães - MA;2104909;2
Icatu - MA;2105104;2
Itamarati - AM;1301951;2
Jenipapo dos Vieiras - MA;2105476;2
Juarina - TO;1711803;2
Lago do Junco - MA;2105807;2
Lago dos Rodrigues - MA;2105948;2
Lago Verde - MA;2105906;2
Lagoa Grande do Maranhão - MA;2105963;2
Lajeado Novo - MA;2105989;2
Luís Domingues - MA;2106201;2
Mãe do Rio - PA;1504059;2
Manaquiri - AM;1302553;2
Matões do Norte - MA;2106631;2
Maurilândia do Tocantins - TO;1712801;2
Melgaço - PA;1504505;2
Miranda do Norte - MA;2106755;2
Mirinzal - MA;2106805;2
Nhamundá - AM;1303007;2
Normandia - RR;1400407;2
Oiapoque - AP;1600501;2
Olinda Nova do Maranhão - MA;2107456;2
Penalva - MA;2108306;2
Peri Mirim - MA;2108405;2
Peritoró - MA;2108454;2
Pio XII - MA;2108702;2
Poção de Pedras - MA;2108900;2
Porto Rico do Maranhão - MA;2109056;2
Presidente Médici - MA;2109239;2
Presidente Vargas - MA;2109304;2
Primavera - PA;1506104;2
Rio Sono - TO;1718758;2
Santa Filomena do Maranhão - MA;2109759;2
Santa Luzia - MA;2110005;2
Santa Rosa do Purus - AC;1200435;2
Santa Terezinha do Tocantins - TO;1720002;2
Santo Antônio do Içá - AM;1303700;2
São Félix de Balsas - MA;2110807;2
São João do Carú - MA;2111029;2
São João do Paraíso - MA;2111052;2
São José dos Basílios - MA;2111250;2
São Luís Gonzaga do Maranhão - MA;2111409;2
São Mateus do Maranhão - MA;2111508;2
São Raimundo do Doca Bezerra - MA;2111631;2
São Roberto - MA;2111672;2
São Sebastião do Uatumã - AM;1303957;2
São Valério - TO;1720499;2
Satubinha - MA;2111722;2
Senador Alexandre Costa - MA;2111748;2
Sítio Novo - MA;2111805;2
Taguatinga - TO;1720903;2
Timbiras - MA;2112100;2
Tonantins - AM;1304237;2
Trizidela do Vale - MA;2112233;2
Tufilândia - MA;2112274;2
Uarini - AM;1304260;2
Uiramutã - RR;1400704;2
Urucará - AM;1304302;2
Vitória do Mearim - MA;2112902;2
Zé Doca - MA;2114007;2
Almeirim - PA;1500503;1
Altamira do Maranhão - MA;2100402;1
Alvarães - AM;1300029;1
Anapu - PA;1500859;1
Arame - MA;2100956;1
Augustinópolis - TO;1702554;1
Augusto Corrêa - PA;1500909;1
Barra do Corda - MA;2101608;1
Bela Vista do Maranhão - MA;2101772;1
Bom Jardim - MA;2102002;1
Bom Jesus das Selvas - MA;2102036;1
Buriti Bravo - MA;2102309;1
Buriticupu - MA;2102325;1
Cantá - RR;1400175;1
Cantanhede - MA;2102705;1
Caracaraí - RR;1400209;1
Central do Maranhão - MA;2103125;1
Centro Novo do Maranhão - MA;2103174;1
Codó - MA;2103307;1
Colinas - MA;2103505;1
Coroatá - MA;2103604;1
Fernando Falcão - MA;2104081;1
Floresta do Araguaia - PA;1503044;1
Fonte Boa - AM;1301605;1
Fortuna - MA;2104206;1
Governador Nunes Freire - MA;2104677;1
Ipixuna - AM;1301803;1
Irituia - PA;1503507;1
Itaipava do Grajaú - MA;2105351;1
Itaituba - PA;1503606;1
Jangada - MT;5104906;1
Jatobá - MA;2105450;1
Juruti - PA;1503903;1
Lago da Pedra - MA;2105708;1
Maracanã - PA;1504307;1
Marapanim - PA;1504406;1
Marechal Thaumaturgo - AC;1200351;1
Mirador - MA;2106706;1
Morros - MA;2107100;1
Nova Iorque - MA;2107308;1
Nova Olinda do Maranhão - MA;2107357;1
Nova Timboteua - PA;1505007;1
Nova Xavantina - MT;5106257;1
Novo Acordo - TO;1715101;1
Oeiras do Pará - PA;1505205;1
Pinheiro - MA;2108603;1
Ponte Alta do Bom Jesus - TO;1717800;1
Portel - PA;1505809;1
Porto Alegre do Tocantins - TO;1718006;1
Porto Walter - AC;1200393;1
Presidente Figueiredo - AM;1303536;1
Presidente Juscelino - MA;2109205;1
Presidente Sarney - MA;2109270;1
Rodrigues Alves - AC;1200427;1
Salvaterra - PA;1506302;1
Santa Helena - MA;2109809;1
Santa Isabel do Rio Negro - AM;1303601;1
São Caetano de Odivelas - PA;1507102;1
São Félix do Tocantins - TO;1720150;1
São João do Soter - MA;2111078;1
São Paulo de Olivença - AM;1303908;1
São Vicente Ferrer - MA;2111706;1
Senador Guiomard - AC;1200450;1
Senador José Porfírio - PA;1507805;1
Sucupira do Norte - MA;2111904;1
Trairão - PA;1508050;1
Tuntum - MA;2112308;1
Turiaçu - MA;2112407;1
Turilândia - MA;2112456;1
Vitorino Freire - MA;2113009;1
Abaetetuba - PA;1500107;2
Acará - PA;1500206;2
Acrelândia - AC;1200013;3
Afuá - PA;1500305;2
Alto Paraíso - RO;1100403;3
Amarante do Maranhão - MA;2100600;3
Anajás - PA;1500701;2
Anamã - AM;1300086;3
Anori - AM;1300102;3
Apuí - AM;1300144;3
Assis Brasil - AC;1200054;2
Aurora do Pará - PA;1500958;3
Aveiro - PA;1501006;2
Axixá do Tocantins - TO;1702901;2
Baião - PA;1501204;2
Barcarena - PA;1501303;2
Barreirinha - AM;1300508;2
Benjamin Constant - AM;1300607;2
Boca do Acre - AM;1300706;2
Bonito - PA;1501600;3
Bragança - PA;1501709;1
Brasiléia - AC;1200104;1
Breves - PA;1501808;2
Bujaru - PA;1501907;2
Cachoeira do Piriá - PA;1501956;2
Calçoene - AP;1600204;3
Cametá - PA;1502103;2
Capitão Poço - PA;1502301;2
Capixaba - AC;1200179;1
Carauari - AM;1301001;2
Careiro - AM;1301100;1
Castanhal - PA;1502400;1
Coari - AM;1301209;2
Concórdia do Pará - PA;1502756;2
Cruzeiro do Sul - AC;1200203;1
Curralinho - PA;1502806;2
Eirunepé - AM;1301407;2
Envira - AM;1301506;2
Epitaciolândia - AC;1200252;2
Feijó - AC;1200302;3
Garrafão do Norte - PA;1503077;3
Guajará - AM;1301654;1
Gurupá - PA;1503101;2
Igarapé Grande - MA;2105203;2
Igarapé-Miri - PA;1503309;2
Inhangapi - PA;1503408;2
Ipixuna do Pará - PA;1503457;3
Jutaí - AM;1302306;2
Laranjal do Jari - AP;1600279;2
Limoeiro do Ajuru - PA;1504000;2
Macapá - AP;1600303;2
Manacapuru - AM;1302504;2
Mâncio Lima - AC;1200336;1
Manicoré - AM;1302702;2
Manoel Urbano - AC;1200344;2
Maués - AM;1302900;2
Mazagão - AP;1600402;2
Medicilândia - PA;1504455;2
Mirante da Serra - RO;1101302;3
Mocajuba - PA;1504604;2
Moju - PA;1504703;2
Monte Alegre - PA;1504802;3
Monte Alegre - PA;1504802;3
Muaná - PA;1504901;2
Nazaré - TO;1714302;3
Nazaré - TO;2922508;3
Nova Esperança do Piriá - PA;1504950;2
Novo Repartimento - PA;1505064;3
Óbidos - PA;1505106;1
Oriximiná - PA;1505304;2
Ourém - PA;1505403;3
Parintins - AM;1303403;3
Pauini - AM;1303502;2
Ponte Alta do Tocantins - TO;1717909;1
Rio Branco - AC;1200401;3
Rio Preto da Eva - AM;1303569;3
Sampaio - TO;1718808;1
Santa Maria do Pará - PA;1506609;3
Santarém - PA;1506807;1
Santo Antônio do Tauá - PA;1507003;2
Santo Antônio dos Lopes - MA;2110302;2
São Domingos do Capim - PA;1507201;2
São Francisco do Pará - PA;1507409;1
São João da Baliza - RR;1400506;3
São João de Pirabas - PA;1507474;1
São Luiz - RR;1400605;3
São Sebastião da Boa Vista - PA;1507706;2
Sena Madureira - AC;1200500;3
Silves - AM;1304005;2
Tapauá - AM;1304104;2
Tefé - AM;1304203;2
Terra Santa - PA;1507979;1
Tracuateua - PA;1508035;1
Uruará - PA;1508159;3
Vigia - PA;1508209;2
Viseu - PA;1508308;2
Xapuri - AC;1200708;2
Abel Figueiredo - PA;1500131;5
Aguiarnópolis - TO;1700301;5
Almas - TO;1700400;5
Amajari - RR;1400027;5
Ananindeua - PA;1500800;5
Angico - TO;1701051;5
Arari - MA;2101004;2
Bacabal - MA;2101202;2
Belém - PA;1501402;5
Benevides - PA;1501501;5
Bonfim - RR;1400159;5
Bujari - AC;1200138;5
Cachoeira do Arari - PA;1502004;5
Canutama - AM;1300904;5
Carmolândia - TO;1703883;5
Cerejeiras - RO;1100056;3
Colméia - TO;1716703;5
Costa Marques - RO;1100080;5
Couto Magalhães - TO;1706001;5
Cristalândia - TO;1706100;5
Curuçá - PA;1502905;5
Divinópolis do Tocantins - TO;1707108;5
Esperantinópolis - MA;2104008;3
Estreito - MA;2104057;3
Figueirópolis - TO;1707652;5
Formosa da Serra Negra - MA;2104099;3
Formoso do Araguaia - TO;1708205;1
Fortaleza dos Nogueiras - MA;2104107;5
Igarapé-Açu - PA;1503200;5
Iracema - RR;1400282;5
Iranduba - AM;1301852;5
Itapuã do Oeste - RO;1101104;5
Itiquira - MT;5104609;5
Joselândia - MA;2105609;5
Lambari D'Oeste - MT;5105234;1
Lima Campos - MA;2106003;2
Luzinópolis - TO;1712454;5
Manaus - AM;1302603;5
Marcelândia - MT;5105580;5
Marianópolis do Tocantins - TO;1712504;5
Marituba - PA;1504422;5
Matinha - MA;2106508;3
Montes Altos - MA;2107001;2
Nova Colinas - MA;2107258;2
Novo Jardim - TO;1715259;5
Olho d'Água das Cunhãs - MA;2107407;1
Pacajá - PA;1505486;5
Paço do Lumiar - MA;2107506;3
Palmeirândia - MA;2107605;1
Palmeiras do Tocantins - TO;1713809;5
Paranã - TO;1716208;5
Pastos Bons - MA;2108009;5
Pau D'Arco - PA;1505551;5
Pedreiras - MA;2108207;2
Pimenta Bueno - RO;1100189;5
Ponta de Pedras - PA;1505700;5
Presidente Dutra - MA;2109106;3
Primavera de Rondônia - RO;1101476;5
Raposa - MA;2109452;2
Reserva do Cabaçal - MT;5107156;5
Riachinho - TO;1718550;5
Rio Crespo - RO;1100262;5
Rosário - MA;2109601;2
Santa Bárbara do Pará - PA;1506351;5
Santa Izabel do Pará - PA;1506500;5
Santa Luzia do Pará - PA;1506559;5
Santa Luzia do Paruá - MA;2110039;3
São Bento - MA;2110500;1
São Bento do Tocantins - TO;1720101;5
São João da Ponta - PA;1507466;5
São José de Ribamar - MA;2111201;3
São Luís - MA;2111300;3
São Miguel do Guamá - PA;1507607;1
Talismã - TO;1720978;5
Tocantinópolis - TO;1721208;5
Tomé-Açu - PA;1508001;5
Várzea Grande - MT;5108402;5
Viana - MA;2112803;1
Wanderlândia - TO;1722081;5
Alto Garças - MT;5100409;7
Alto Parnaíba - MA;2100501;7
Alto Taquari - MT;5100607;7
Alvorada - TO;1700707;7
Aparecida do Rio Negro - TO;1701101;7
Arraias - TO;1702406;7
Balsas - MA;2101400;7
Barra do Bugres - MT;5101704;7
Barra do Ouro - TO;1703073;7
Bom Jesus do Araguaia - MT;5101852;7
Brasilândia do Tocantins - TO;1703602;7
Brasnorte - MT;5101902;7
Brejinho de Nazaré - TO;1703701;7
Campestre do Maranhão - MA;2102556;7
Campo Novo do Parecis - MT;5102637;7
Campo Verde - MT;5102678;7
Campos de Júlio - MT;5102686;7
Campos Lindos - TO;1703842;7
Capinzal do Norte - MA;2102754;7
Centenário - TO;1704105;7
Confresa - MT;5103353;7
Corumbiara - RO;1100072;7
Darcinópolis - TO;1706506;7
Davinópolis - MA;2103752;7
Denise - MT;5103452;7
Diamantino - MT;5103502;7
Dianópolis - TO;1707009;7
Feliz Natal - MT;5103700;7
General Carneiro - MT;5103908;7
Goiatins - TO;1709005;7
Governador Edison Lobão - MA;2104552;7
Guaraí - TO;1709302;7
Guiratinga - MT;5104203;7
Ipiranga do Norte - MT;5104526;7
Itanhangá - MT;5104542;7
Itapecuru Mirim - MA;2105401;7
Itapiratins - TO;1710904;7
Itaúba - MT;5104559;7
Jaciara - MT;5104807;7
Junco do Maranhão - MA;2105658;7
Lagoa da Confusão - TO;1711902;7
Lavandeira - TO;1712157;7
Lucas do Rio Verde - MT;5105259;7
Maracaçumé - MA;2106326;7
Mateiros - TO;1712702;7
Miracema do Tocantins - TO;1713205;7
Monção - MA;2106904;7
Monte do Carmo - TO;1713601;7
Nobres - MT;5105903;7
Nortelândia - MT;5106000;7
Nova Maringá - MT;5108907;7
Nova Mutum - MT;5106224;7
Nova Olímpia - MT;5106232;7
Nova Ubiratã - MT;5106240;7
Novo São Joaquim - MT;5106281;7
Pacaraima - RR;1400456;7
Palmas - TO;1721000;7
Palmeirante - TO;1715705;7
Pedra Preta - MT;5106372;7
Pedro Afonso - TO;1716505;7
Pindaré-Mirim - MA;2108504;7
Pium - TO;1717503;7
Poconé - MT;5106505;7
Ponte Branca - MT;5106703;7
Porto dos Gaúchos - MT;5106802;7
Porto Nacional - TO;1718204;7
Primavera do Leste - MT;5107040;7
Querência - MT;5107065;7
Riachão - MA;2109502;7
Ribamar Fiquene - MA;2109551;7
Rio dos Bois - TO;1718709;7
Santa Carmem - MT;5107248;7
Santa Cruz do Xingu - MT;5107743;7
Santa Inês - MA;2109908;7
Santa Rita do Trivelato - MT;5107768;7
Santa Rosa do Tocantins - TO;1718907;7
Santo Antônio do Leste - MT;5107792;7
São Domingos do Azeitão - MA;2110658;7
São Domingos do Maranhão - MA;2110708;7
São João Batista - MA;2111003;7
São José do Rio Claro - MT;5107305;7
São Pedro da Cipa - MT;5107404;7
São Raimundo das Mangabeiras - MA;2111607;7
Sapezal - MT;5107875;7
Serrano do Maranhão - MA;2111789;7
Silvanópolis - TO;1720655;7
Sinop - MT;5107909;7
Sorriso - MT;5107925;7
Tabaporã - MT;5107941;7
Tapurah - MT;5108006;7
Tasso Fragoso - MA;2112001;7
Tupirama - TO;1721257;7
Ulianópolis - PA;1508126;7
Vera - MT;5108501;7
Vilhena - RO;1100304;7
Alto Alegre - RR;1400050;4
Araguacema - TO;1701903;4
Barrolândia - TO;1703107;4
Canarana - MT;5102702;4
Dom Eliseu - PA;1502939;4
Gurupi - TO;1709500;4
Itinga do Maranhão - MA;2105427;4
Lábrea - AM;1302405;4
Nossa Senhora do Livramento - MT;5106109;4
Palmeirópolis - TO;1715754;4
Peixe-Boi - PA;1505601;4
Porto de Moz - PA;1505908;4
Senador La Rocque - MA;2111763;4
Abreulândia - TO;1700251;4
Acorizal - MT;5100102;4
Alto Paraguai - MT;5100508;4
Amapá - AP;1600105;4
Ananás - TO;1701002;4
Araguaçu - TO;1702000;4
Araguaiana - MT;5101001;4
Araguainha - MT;5101209;4
Aurora do Tocantins - TO;1702703;4
Bacabeira - MA;2101251;4
Belterra - PA;1501451;4
Buritirana - MA;2102358;4
Candeias do Jamari - RO;1100809;4
Cariri do Tocantins - TO;1703867;4
Caseara - TO;1703909;4
Chaves - PA;1502509;4
Chupinguaia - RO;1100924;4
Cocalinho - MT;5103106;4
Colinas do Tocantins - TO;1705508;4
Conceição do Tocantins - TO;1705607;4
Curionópolis - PA;1502772;4
Dueré - TO;1707306;4
Fátima - TO;1707553;4
Gaúcha do Norte - MT;5103858;4
Governador Newton Bello - MA;2104651;4
Igarapé do Meio - MA;2105153;4
Indiavaí - MT;5104500;4
Itacajá - TO;1710508;4
Jaú do Tocantins - TO;1711506;4
Loreto - MA;2106102;4
Luciara - MT;5105309;4
Miranorte - TO;1713304;4
Monte Santo do Tocantins - TO;1713700;4
Mucajaí - RR;1400308;4
Muricilândia - TO;1713957;4
Natividade - TO;1714203;4
Nova Bandeirantes - MT;5106158;4
Nova Nazaré - MT;5106174;4
Nova Rosalândia - TO;1715002;4
Novo Santo Antônio - MT;5106315;4
Paraíso do Tocantins - TO;1716109;4
Pau D'Arco - TO;1716307;4
Paulo Ramos - MA;2108108;4
Peixe - TO;1716604;4
Pindorama do Tocantins - TO;1717008;4
Piraquê - TO;1717206;4
Planalto da Serra - MT;5106455;4
Porto Estrela - MT;5106851;4
Porto Grande - AP;1600535;4
Pracuúba - AP;1600550;4
Pugmil - TO;1718451;4
Recursolândia - TO;1718501;4
Redenção - PA;1506138;4
Ribeirãozinho - MT;5107198;4
Rondolândia - MT;5107578;4
Rorainópolis - RR;1400472;4
Salinópolis - PA;1506203;4
Sandolândia - TO;1718840;4
Santa Cruz do Arari - PA;1506401;4
Santa Terezinha - MT;5107776;4
Santo Afonso - MT;5107263;4
São José do Xingu - MT;5107354;4
São Pedro da Água Branca - MA;2111532;4
São Salvador do Tocantins - TO;1720259;4
Serra Nova Dourada - MT;5107883;4
Soure - PA;1507904;4
Tartarugalzinho - AP;1600709;4
Tesouro - MT;5108105;4
Tocantínia - TO;1721109;4
Torixoréu - MT;5108204;4
Tucumã - PA;1508084;4
Tucuruí - PA;1508100;4
Tupiratins - TO;1721307;4
Vila Rica - MT;5108600;4
Açailândia - MA;2100055;4
Água Azul do Norte - PA;1500347;4
Água Boa - MT;5100201;4
Aliança do Tocantins - TO;1700350;4
Alta Floresta - MT;5100250;4
Altamira - PA;1500602;4
Alto Araguaia - MT;5100300;4
Alto Boa Vista - MT;5100359;4
Apiacás - MT;5100805;4
Aragominas - TO;1701309;4
Araguaína - TO;1702109;4
Araguanã - TO;1702158;4
Arapoema - TO;1702307;4
Araputanga - MT;5101258;4
Arenápolis - MT;5101308;4
Aripuanã - MT;5101407;4
Bandeirantes do Tocantins - TO;1703057;4
Bannach - PA;1501253;4
Barra do Garças - MT;5101803;4
Bom Jesus do Tocantins - PA;1501576;4
Bom Jesus do Tocantins - TO;1703305;4
Brejo Grande do Araguaia - PA;1501758;4
Buriti do Tocantins - TO;1703800;4
Cacaulândia - RO;1100601;4
Cáceres - MT;5102504;4
Campinápolis - MT;5102603;4
Canaã dos Carajás - PA;1502152;4
Canabrava do Norte - MT;5102694;4
Carlinda - MT;5102793;4
Carolina - MA;2102804;4
Castanheira - MT;5102850;4
Castanheiras - RO;1100908;4
Chapada da Natividade - TO;1705102;4
Chapada de Areia - TO;1704600;4
Chapada dos Guimarães - MT;5103007;4
Cidelândia - MA;2103257;4
Cláudia - MT;5103056;4
Colíder - MT;5103205;4
Comodoro - MT;5103304;4
Conceição do Araguaia - PA;1502707;4
Conquista D'Oeste - MT;5103361;4
Crixás do Tocantins - TO;1706258;4
Cuiabá - MT;5103403;4
Cumaru do Norte - PA;1502764;4
Cutias - AP;1600212;4
Dom Aquino - MT;5103601;4
Espigão D'Oeste - RO;1100098;4
Figueirópolis D'Oeste - MT;5103809;4
Fortaleza do Tabocão - TO;1708254;4
Glória D'Oeste - MT;5103957;4
Goianésia do Pará - PA;1503093;4
Goianorte - TO;1708304;4
Grajaú - MA;2104800;4
Guajará-Mirim - RO;1100106;4
Humaitá - AM;1301704;4
Imperatriz - MA;2105302;4
Ipueiras - TO;1709807;4
Itaguatins - TO;1710706;4
Itaporã do Tocantins - TO;1711100;4
Itaubal - AP;1600253;4
Itupiranga - PA;1503705;4
Jacareacanga - PA;1503754;4
Jacundá - PA;1503804;4
João Lisboa - MA;2105500;4
Juara - MT;5105101;4
Juína - MT;5105150;4
Juscimeira - MT;5105200;4
Lajeado - TO;1712009;4
Marabá - PA;1504208;4
Matupá - MT;5105606;4
Mirassol d'Oeste - MT;5105622;4
Nova Brasilândia - MT;5106208;4
Nova Canaã do Norte - MT;5106216;4
Nova Lacerda - MT;5106182;4
Nova Marilândia - MT;5108857;4
Nova Monte Verde - MT;5108956;4
Nova Olinda - TO;1714880;4
Nova Santa Helena - MT;5106190;4
Novo Mundo - MT;5106265;4
Novo Progresso - PA;1505031;4
Oliveira de Fátima - TO;1715507;4
Ourilândia do Norte - PA;1505437;4
Palestina do Pará - PA;1505494;4
Paragominas - PA;1505502;4
Paranaíta - MT;5106299;4
Paranatinga - MT;5106307;4
Parecis - RO;1101450;4
Peixoto de Azevedo - MT;5106422;4
Piçarra - PA;1505635;4
Pimenteiras do Oeste - RO;1101468;4
Pontal do Araguaia - MT;5106653;4
Pontes e Lacerda - MT;5106752;4
Porto Alegre do Norte - MT;5106778;4
Porto Esperidião - MT;5106828;4
Poxoréu - MT;5107008;4
Presidente Kennedy - TO;1718402;4
Ribeirão Cascalheira - MT;5107180;4
Rio Branco - MT;5107206;4
Rio Maria - PA;1506161;4
Rondon do Pará - PA;1506187;4
Rondonópolis - MT;5107602;4
Rosário Oeste - MT;5107701;4
Salto do Céu - MT;5107750;4
Sambaíba - MA;2109700;4
Santa Fé do Araguaia - TO;1718865;4
Santa Maria das Barreiras - PA;1506583;4
Santa Maria do Tocantins - TO;1718881;4
Santa Rita do Tocantins - TO;1718899;4
Santana do Araguaia - PA;1506708;4
Santo Antônio do Leverger - MT;5107800;4
São Félix do Araguaia - MT;5107859;4
São Félix do Xingu - PA;1507300;4
São Francisco do Brejão - MA;2110856;4
São Geraldo do Araguaia - PA;1507458;4
São José do Povo - MT;5107297;4
São Miguel do Tocantins - TO;1720200;4
São Sebastião do Tocantins - TO;1720309;4
Sapucaia - PA;1507755;4
Sucupira - TO;1720853;4
Tailândia - PA;1507953;4
Taipas do Tocantins - TO;1720937;4
Tangará da Serra - MT;5107958;4
União do Sul - MT;5108303;4
Vale de São Domingos - MT;5108352;4
Vila Bela da Santíssima Trindade - MT;5105507;4
Vila Nova dos Martírios - MA;2112852;4
Vitória do Xingu - PA;1508357;4
Xambioá - TO;1722107;4
Xinguara - PA;1508407;4
