Municipio;cd_geocmu;TT06_Dominant
Alcântara - MA;2100204;3
Alenquer - PA;1500404;3
Alta Floresta D'Oeste - RO;1100015;3
Alto Alegre dos Parecis - RO;1100379;3
Alvorada D'Oeste - RO;1100346;3
Araguatins - TO;1702208;3
Ariquemes - RO;1100023;3
Autazes - AM;1300300;3
Babaçulândia - TO;1703008;3
Barão de Melgaço - MT;5101605;3
Bequimão - MA;2101905;3
Bernardo Sayão - TO;1703206;3
Beruri - AM;1300631;3
Boa Vista - RR;1400100;3
Boa Vista - RR;1400100;3
Boa Vista do Gurupi - MA;2101970;3
Boa Vista do Ramos - AM;1300680;3
Borba - AM;1300805;3
Brasil Novo - PA;1501725;3
Breu Branco - PA;1501782;3
Buritis - RO;1100452;3
Buritis - RO;1100452;3
Caapiranga - AM;1300839;3
Cabixi - RO;1100031;3
Cachoeirinha - TO;1703826;3
Cacoal - RO;1100049;3
Campo Novo de Rondônia - RO;1100700;3
Capanema - PA;1502202;3
Careiro da Várzea - AM;1301159;3
Caroebe - RR;1400233;3
Carrasco Bonito - TO;1703891;3
Carutapera - MA;2102903;3
Colares - PA;1502608;3
Colniza - MT;5103254;3
Colorado do Oeste - RO;1100064;3
Combinado - TO;1705557;3
Cotriguaçu - MT;5103379;3
Cujubim - RO;1100940;3
Curuá - PA;1502855;3
Curvelândia - MT;5103437;3
Dois Irmãos do Tocantins - TO;1707207;3
Eldorado do Carajás - PA;1502954;3
Esperantina - TO;1707405;3
Faro - PA;1503002;3
Feira Nova do Maranhão - MA;2104073;3
Ferreira Gomes - AP;1600238;3
Governador Jorge Teixeira - RO;1101005;3
Guarantã do Norte - MT;5104104;3
Itacoatiara - AM;1301902;3
Itapiranga - AM;1302009;3
Japurá - AM;1302108;3
Jaru - RO;1100114;3
Jauru - MT;5105002;3
Ji-Paraná - RO;1100122;3
Jordão - AC;1200328;3
Juruá - AM;1302207;3
Juruena - MT;5105176;3
Lagoa do Tocantins - TO;1711951;3
Lizarda - TO;1712405;3
Machadinho D'Oeste - RO;1100130;3
Magalhães Barata - PA;1504109;3
Maraã - AM;1302801;3
Marajá do Sena - MA;2106359;3
Maranhãozinho - MA;2106375;3
Ministro Andreazza - RO;1101203;3
Monte Negro - RO;1101401;3
Nova Brasilândia D'Oeste - RO;1100148;3
Nova Guarita - MT;5108808;3
Nova Ipixuna - PA;1504976;3
Nova Mamoré - RO;1100338;3
Nova Olinda do Norte - AM;1303106;3
Nova União - RO;1101435;3
Nova União - RO;1101435;3
Novo Airão - AM;1303205;3
Novo Alegre - TO;1715150;3
Novo Aripuanã - AM;1303304;3
Novo Horizonte do Norte - MT;5106273;3
Novo Horizonte do Oeste - RO;1100502;3
Ouro Preto do Oeste - RO;1100155;3
Paraibano - MA;2107704;3
Parauapebas - PA;1505536;3
Pedra Branca do Amapari - AP;1600154;3
Pedro do Rosário - MA;2108256;3
Pequizeiro - TO;1716653;3
Pirapemas - MA;2108801;3
Placas - PA;1505650;3
Plácido de Castro - AC;1200385;3
Porto Acre - AC;1200807;3
Porto Franco - MA;2109007;3
Porto Velho - RO;1100205;3
Praia Norte - TO;1718303;3
Prainha - PA;1506005;3
Presidente Médici - RO;1100254;3
Quatipuru - PA;1506112;3
Rio da Conceição - TO;1718659;3
Rolim de Moura - RO;1100288;3
