Municipio;cd_geocmu;TT17_Dominant
Centro Novo do Maranhão - MA;2103174;7
Cerejeiras - RO;1100056;7
Chapada da Natividade - TO;1705102;7
Chapada de Areia - TO;1704600;4
Chapada dos Guimarães - MT;5103007;7
Chaves - PA;1502509;4
Chupinguaia - RO;1100924;4
Cidelândia - MA;2103257;4
Cláudia - MT;5103056;4
Coari - AM;1301209;2
Cocalinho - MT;5103106;4
Codajás - AM;1301308;2
Codó - MA;2103307;4
Colares - PA;1502608;2
Colíder - MT;5103205;4
Colinas - MA;2103505;3
Colinas do Tocantins - TO;1705508;4
Colméia - TO;1716703;2
Colniza - MT;5103254;3
Colorado do Oeste - RO;1100064;3
Combinado - TO;1705557;2
Comodoro - MT;5103304;4
Conceição do Araguaia - PA;1502707;1
Conceição do Lago-Açu - MA;2103554;1
Conceição do Tocantins - TO;1705607;4
Concórdia do Pará - PA;1502756;1
Confresa - MT;5103353;4
Conquista D'Oeste - MT;5103361;7
Coroatá - MA;2103604;2
Corumbiara - RO;1100072;4
Costa Marques - RO;1100080;4
Cotriguaçu - MT;5103379;4
Couto Magalhães - TO;1706001;7
Cristalândia - TO;1706100;7
Crixás do Tocantins - TO;1706258;4
Cruzeiro do Sul - AC;1200203;1
Cuiabá - MT;5103403;4
Cujubim - RO;1100940;7
Cumaru do Norte - PA;1502764;4
Curionópolis - PA;1502772;4
Curralinho - PA;1502806;5
Curuá - PA;1502855;1
Curuçá - PA;1502905;5
Cururupu - MA;2103703;1
Curvelândia - MT;5103437;4
Cutias - AP;1600212;4
Darcinópolis - TO;1706506;7
Davinópolis - MA;2103752;7
Denise - MT;5103452;7
Diamantino - MT;5103502;7
Dianópolis - TO;1707009;5
Divinópolis do Tocantins - TO;1707108;4
Dois Irmãos do Tocantins - TO;1707207;4
Dom Aquino - MT;5103601;4
Dom Eliseu - PA;1502939;7
Dom Pedro - MA;2103802;7
Dueré - TO;1707306;4
Eirunepé - AM;1301407;1
Eldorado do Carajás - PA;1502954;3
Envira - AM;1301506;2
Epitaciolândia - AC;1200252;2
Esperantina - TO;1707405;2
Esperantinópolis - MA;2104008;2
Espigão D'Oeste - RO;1100098;4
Estreito - MA;2104057;5
Faro - PA;1503002;2
Fátima - TO;1707553;4
Feijó - AC;1200302;1
Feira Nova do Maranhão - MA;2104073;3
Feliz Natal - MT;5103700;4
Fernando Falcão - MA;2104081;4
Ferreira Gomes - AP;1600238;7
Figueirópolis - TO;1707652;7
Figueirópolis D'Oeste - MT;5103809;4
Filadélfia - TO;1707702;4
Floresta do Araguaia - PA;1503044;7
Fonte Boa - AM;1301605;1
Formosa da Serra Negra - MA;2104099;3
Formoso do Araguaia - TO;1708205;7
Fortaleza do Tabocão - TO;1708254;4
Fortaleza dos Nogueiras - MA;2104107;7
Fortuna - MA;2104206;1
Garrafão do Norte - PA;1503077;1
Gaúcha do Norte - MT;5103858;7
General Carneiro - MT;5103908;7
Glória D'Oeste - MT;5103957;4
Godofredo Viana - MA;2104305;1
Goianésia do Pará - PA;1503093;4
Goianorte - TO;1708304;4
Goiatins - TO;1709005;7
